"regional,""kode_kebun"",""nama_kebun"",""afdeling"",""blok"""
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD01,A 11"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD01,A 12"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD01,A 13"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD01,A 14"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD01,A 15"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD01,B 11"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD01,B 13"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD01,B 14"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD01,B 15"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD01,B12"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD01,C 11"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD01,C 12"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD01,C 14"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD01,C 15"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD01,C13"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD01,D 11"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD01,D 12"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD01,D 13"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD01,D 14"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD01,D 15"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD01,E 11"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD01,E 12"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD01,E 13"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD01,E 14"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD01,E 15"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD01,F 11"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD01,F 12"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD01,F 13"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD01,F 14"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD01,F 15"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD02,G.10"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD02,G.11"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD02,G.12"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD02,G.13"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD02,G.14"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD02,G.15"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD02,H.10"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD02,H.11"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD02,H.12"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD02,H.13"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD02,H.14"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD02,H.15"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD02,I.11"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD02,I.12"
"DATIM,""1KJL"",KEBUN JULOK RAYEUK SELATAN,AFD02,I.13"
